policy,noise_type,noise_level,seed,mean_loss,final_abs_theta,final_abs_x,max_abs_action,success_final_theta_lt_0p25
linear_near,observation,0.1,20,0.993458775200043,2.3874543044299203,410.4683607544895,20.0,False
linear_near,observation,0.1,21,0.9776903984255,1.9416860654547046,536.5825086235637,20.0,False
linear_near,observation,0.1,22,0.9934020676413152,0.21765022420653724,571.4397216600594,20.0,True
linear_near,observation,0.1,23,0.9664690104902706,1.6363770275631127,530.5033796032095,20.0,False
linear_near,observation,0.1,24,0.9989503518064657,1.599793520951063,573.7551026135071,20.0,False
linear_near,observation,0.1,25,0.9177497109694122,0.20119587259895644,439.3475845444551,20.0,True
linear_near,observation,0.1,26,0.972636230793926,1.1117697225581207,488.2784500236966,20.0,False
linear_near,observation,0.1,27,0.9761995615499375,2.5728271369749205,542.907676741848,20.0,False
linear_near,observation,0.1,28,0.976846490670653,1.3787599303480738,141.140635063497,20.0,False
linear_near,observation,0.1,29,0.9735167134634467,1.581277278696895,337.4431022651044,20.0,False
linear_near,action,0.0,0,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,1,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,2,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,3,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,4,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,5,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,6,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,7,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,8,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,9,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,10,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,11,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,12,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,13,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,14,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,15,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,16,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,17,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,18,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,19,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,20,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,21,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,22,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,23,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,24,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,25,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,26,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,action,0.0,27,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
